Model,TDP
Intel Xeon Platinum 8279W,205
Intel Xeon Platinum 8280,205
Intel Xeon Platinum 8280L,205
Intel Xeon Platinum 8280M,205
Intel Xeon Platinum 8284,240
Intel Xeon Platinum 9221,250
Intel Xeon Platinum 9222,250
Intel Xeon Platinum 9242,350
Intel Xeon Platinum 9282,400
Intel Xeon W-2223,120
Intel Xeon W-2225,105
Intel Xeon W-2235,130
Intel Xeon W-2245,155
Intel Xeon W-2255,165
Intel Xeon W-2265,165
Intel Xeon W-2275,165
Intel Xeon W-2295,165
Intel Xeon W-3223,160
Intel Xeon W-3225,160
Intel Xeon W-3235,180
Intel Xeon W-3245,205
Intel Xeon W-3245M,205
Intel Xeon W-3265,205
Intel Xeon W-3265M,205
Intel Xeon W-3275,205
Intel Xeon W-3275M,205
Intel Xeon W-1250,80
Intel Xeon W-1270,80
Intel Xeon W-1290,80
Intel Xeon W-1250E,80
Intel Xeon W-1270E,80
Intel Xeon W-1290E,95
Intel Xeon W-1250P,125
Intel Xeon W-1270P,125
Intel Xeon W-1290P,125
Intel Xeon W-1290T,35
Intel Xeon W-1250TE,35
Intel Xeon W-1270TE,35
Intel Xeon W-1290TE,35
Intel Xeon W-10855M,45
Intel Xeon W-10885M,45
Intel Xeon W-1350,80
Intel Xeon W-1370,80
Intel Xeon W-1390,80
Intel Xeon W-1350P,125
Intel Xeon W-1370P,125
Intel Xeon W-1390P,125
Intel Xeon W-1390T,35
Intel Xeon E-2314,65
Intel Xeon E-2324G,65
Intel Xeon E-2334,65
Intel Xeon E-2336,65
Intel Xeon E-2356G,80
Intel Xeon E-2374G,80
Intel Xeon E-2378,65
Intel Xeon E-2378G,80
Intel Xeon E-2386G,95
Intel Xeon E-2388G,95
Intel Xeon Gold 6312U,185
Intel Xeon Gold 6314U,205
